year,under20,twentyTo24,twentyfiveTo29,thirtyTo34,thirtyfiveTo39,fortyPlus
2005,0.206402748,0.30083525,0.245729273,0.164619498,0.0675404,0.014872832
2010,0.188592072,0.294473486,0.261911472,0.173273136,0.065528684,0.01622115
2015,0.126515967,0.283164459,0.28021741,0.214739308,0.077924402,0.017438453
2020,0.098787931,0.26328558,0.282902254,0.241362729,0.094062265,0.019599241
